track_id,genre,danceability,energy,valence,acousticness,speechiness,tempo,loudness,duration_min,popularity,hit
T1059,Rock,0.397,0.688,0.526,0.02,0.02,126.4,-5.97,3.14,67.6,0
T1060,EDM,0.679,0.971,0.789,0.043,0.091,123.8,-2.89,5.2,92.9,1
T1061,Hip-Hop,0.837,0.641,0.507,0.143,0.184,86.7,-6.67,3.76,82.1,1
T1062,Hip-Hop,0.853,0.671,0.728,0.277,0.231,67.7,-4.2,4.15,62.0,0
T1063,Pop,0.669,0.743,0.639,0.154,0.033,118.0,-6.53,3.41,97.1,1
T1064,EDM,0.764,0.945,0.575,0.02,0.055,145.1,-6.26,3.24,78.2,1
T1065,Hip-Hop,0.792,0.543,0.615,0.071,0.128,104.3,-9.52,4.01,57.2,0
T1066,Pop,0.85,0.873,0.274,0.334,0.02,108.6,-4.03,2.39,62.2,0
T1067,Rock,0.71,0.668,0.639,0.24,0.02,121.3,-5.89,3.72,68.0,0
T1068,R&B,0.458,0.54,0.354,0.175,0.115,102.6,-9.47,3.26,30.8,0
T1069,Pop,0.767,0.324,0.252,0.152,0.119,126.3,-5.56,3.46,77.6,1
T1070,Pop,0.683,0.631,0.604,0.05,0.02,118.4,-4.7,3.21,88.8,1
T1071,EDM,0.763,0.716,0.477,0.188,0.061,123.2,-5.93,3.14,62.0,0
T1072,EDM,0.823,0.889,0.444,0.07,0.069,139.4,-1.97,4.77,95.7,1
T1073,Pop,0.709,0.745,0.562,0.02,0.02,124.5,-5.87,3.07,94.9,1
T1074,EDM,0.735,0.866,0.378,0.228,0.085,121.0,-3.16,4.67,82.0,1
T1075,Acoustic,0.646,0.213,0.456,0.928,0.093,103.0,-9.27,3.59,7.0,0
T1076,EDM,0.785,0.759,0.534,0.02,0.037,131.0,-2.2,3.39,91.9,1
T1077,Hip-Hop,0.825,0.865,0.522,0.077,0.26,101.8,-7.26,3.16,79.7,1
T1078,Hip-Hop,0.965,0.602,0.4,0.082,0.247,103.8,-7.34,2.35,59.0,0
T1079,Rock,0.572,0.845,0.489,0.178,0.028,140.7,-3.06,4.44,61.6,0
T1080,Rock,0.399,0.842,0.597,0.022,0.044,133.2,-7.55,3.76,58.4,0
T1081,Pop,0.767,0.857,0.14,0.092,0.053,130.9,-1.0,3.13,96.4,1
T1082,Pop,0.624,0.672,0.586,0.02,0.02,111.0,-6.04,4.49,73.7,1
T1083,EDM,0.735,0.884,0.294,0.02,0.02,119.4,-6.02,3.45,73.2,1
T1084,EDM,0.719,0.679,0.462,0.154,0.11,134.4,-4.74,3.55,84.9,1
T1085,Pop,0.807,0.585,0.394,0.106,0.185,109.6,-5.58,3.1,74.0,1
T1086,Hip-Hop,0.86,0.47,0.622,0.248,0.237,95.7,-4.75,3.74,100.0,1
T1087,Rock,0.37,0.737,0.636,0.286,0.12,136.2,-5.55,3.75,51.2,0
T1088,EDM,0.534,0.835,0.387,0.091,0.16,108.4,-0.4,3.09,87.2,1
T1089,Rock,0.381,0.452,0.359,0.094,0.072,127.8,-5.97,3.43,48.5,0
T1090,R&B,0.688,0.427,0.671,0.22,0.052,110.7,-7.3,4.51,60.9,0
T1091,Pop,0.922,0.602,0.481,0.044,0.061,104.6,-8.42,3.91,58.2,0
T1092,Pop,0.598,0.778,0.635,0.218,0.109,139.7,-4.97,4.26,79.0,1
T1093,Acoustic,0.408,0.181,0.728,0.625,0.068,101.9,-8.75,3.37,26.9,0
T1094,Rock,0.586,0.99,0.527,0.071,0.1,117.0,-4.97,2.37,50.9,0
T1095,Hip-Hop,0.792,0.445,0.285,0.298,0.252,108.3,-5.19,3.48,68.8,0
T1096,Hip-Hop,0.823,0.477,0.336,0.02,0.24,120.3,-8.64,2.61,48.9,0
T1097,Pop,0.87,0.838,0.652,0.157,0.045,141.1,-6.53,3.69,81.8,1
T1098,R&B,0.774,0.509,0.467,0.331,0.117,123.3,-7.62,2.99,63.9,0
T1099,Hip-Hop,0.566,0.596,0.648,0.131,0.186,107.1,-2.43,3.22,75.7,1
T1100,Rock,0.515,0.593,0.671,0.247,0.02,133.0,-5.42,4.59,60.6,0
T1101,EDM,0.644,0.898,0.795,0.02,0.051,137.1,-4.23,3.28,71.7,1
T1102,R&B,0.686,0.329,0.492,0.266,0.19,101.0,-7.7,3.57,38.7,0
T1103,Rock,0.677,0.954,0.633,0.374,0.02,141.9,-8.16,4.47,71.3,1
T1104,Hip-Hop,0.748,0.577,0.806,0.238,0.276,105.5,-7.29,3.5,84.9,1
T1105,Pop,0.733,0.665,0.48,0.15,0.081,100.1,-6.47,3.68,89.5,1
T1106,Pop,0.827,0.625,0.518,0.224,0.059,119.5,-4.02,3.22,100.0,1
T1107,R&B,0.63,0.464,0.342,0.371,0.106,97.8,-0.6,4.02,69.0,0
T1108,Pop,0.703,0.73,0.495,0.238,0.108,132.1,-9.36,3.28,73.9,1
T1109,Rock,0.554,0.73,0.494,0.125,0.02,128.1,-9.23,4.42,70.3,1
T1110,Hip-Hop,0.787,0.732,0.766,0.083,0.178,103.3,-8.01,1.5,58.3,0
T1111,Acoustic,0.484,0.31,0.396,0.887,0.026,110.8,-11.67,4.08,9.1,0
T1112,EDM,0.725,0.641,0.228,0.228,0.047,137.1,-4.88,3.8,66.0,0
T1113,Pop,0.655,0.747,0.389,0.271,0.097,118.7,-3.54,3.14,76.4,1
T1114,Pop,0.812,0.639,0.605,0.163,0.041,131.5,-7.76,4.92,58.0,0
T1115,Hip-Hop,0.974,0.769,0.533,0.07,0.202,87.4,-5.98,2.76,81.7,1
T1116,EDM,0.844,0.988,0.282,0.104,0.03,151.6,-4.17,3.51,80.0,1
T1117,Pop,0.703,0.578,0.499,0.121,0.055,107.0,-6.26,1.98,91.1,1
T1118,Pop,0.662,0.607,0.732,0.177,0.163,119.5,-3.53,2.09,80.5,1
T1119,Rock,0.43,0.69,0.308,0.055,0.035,135.6,-2.46,3.17,53.6,0
T1120,Rock,0.502,0.885,0.263,0.172,0.06,132.9,-5.76,4.62,61.7,0
T1121,Acoustic,0.565,0.364,0.405,0.712,0.02,114.1,-8.33,2.86,13.6,0
T1122,Acoustic,0.449,0.385,0.42,0.842,0.126,113.3,-10.72,4.38,19.9,0
T1123,Hip-Hop,0.835,0.504,0.196,0.168,0.194,106.2,-4.57,3.22,79.6,1
T1124,Pop,0.611,0.58,0.537,0.224,0.06,135.7,-1.56,3.87,66.8,0
T1125,R&B,0.89,0.672,0.363,0.625,0.079,131.4,-7.61,4.39,57.0,0
T1126,R&B,0.605,0.519,0.44,0.432,0.211,81.1,-8.24,3.4,66.2,0
T1127,EDM,0.702,0.99,0.483,0.199,0.02,125.6,-4.83,3.01,65.5,0
T1128,R&B,0.821,0.52,0.68,0.367,0.087,94.4,-9.86,2.71,50.1,0
T1129,Hip-Hop,0.844,0.66,0.359,0.02,0.384,98.3,-3.06,3.0,75.9,1
T1130,R&B,0.896,0.544,0.264,0.27,0.059,102.9,-7.59,4.53,25.5,0
T1131,Pop,0.789,0.744,0.494,0.247,0.049,109.3,-6.06,4.74,83.8,1
T1132,Rock,0.393,0.963,0.558,0.239,0.115,117.3,-1.16,3.25,76.7,1
T1133,Acoustic,0.441,0.355,0.335,0.99,0.041,111.4,-9.45,2.35,13.6,0
T1134,Hip-Hop,0.726,0.808,0.612,0.065,0.16,81.2,-7.82,2.25,80.8,1
T1135,Pop,0.625,0.534,0.601,0.025,0.112,124.4,-1.79,2.69,85.0,1
T1136,Hip-Hop,0.75,0.599,0.6,0.123,0.18,121.4,-6.47,3.6,65.7,0
T1137,Hip-Hop,0.747,0.645,0.582,0.152,0.248,117.1,-5.15,3.67,63.9,0
T1138,Rock,0.603,0.891,0.535,0.066,0.076,113.8,-10.29,2.43,47.5,0
T1139,Pop,0.893,0.526,0.708,0.189,0.02,105.2,-4.65,3.47,92.5,1
T1140,R&B,0.458,0.873,0.438,0.309,0.02,121.1,-8.21,2.87,66.4,0
T1141,Pop,0.755,0.71,0.614,0.02,0.034,111.3,-6.86,4.42,91.7,1
T1142,Acoustic,0.702,0.385,0.644,0.913,0.063,113.3,-7.94,5.12,30.2,0
T1143,Pop,0.702,0.556,0.515,0.039,0.136,114.9,-6.62,3.53,71.6,1
T1144,Hip-Hop,0.841,0.601,0.441,0.102,0.238,90.0,-2.22,3.28,100.0,1
T1145,Acoustic,0.736,0.082,0.512,0.966,0.02,107.4,-9.1,4.44,4.2,0
T1146,EDM,0.64,0.863,0.578,0.02,0.144,123.0,-3.34,3.81,79.7,1
T1147,Rock,0.614,0.911,0.472,0.199,0.02,118.7,-9.25,3.89,48.7,0
T1148,Hip-Hop,0.883,0.555,0.656,0.02,0.224,105.7,-7.25,2.17,62.8,0
T1149,EDM,0.764,0.835,0.463,0.02,0.02,121.3,-4.88,4.23,72.8,1
T1150,Acoustic,0.46,0.673,0.259,0.88,0.061,118.6,-10.79,3.65,21.7,0
T1151,R&B,0.629,0.26,0.239,0.206,0.072,108.1,-9.31,3.5,33.9,0
T1152,Rock,0.589,0.946,0.33,0.02,0.024,106.4,-6.87,4.14,80.6,1
T1153,Acoustic,0.594,0.145,0.394,0.74,0.02,132.8,-6.76,2.76,16.0,0
T1154,Hip-Hop,0.672,0.637,0.306,0.02,0.184,106.1,-5.55,3.57,91.8,1
T1155,Acoustic,0.346,0.433,0.112,0.84,0.044,119.4,-12.84,3.22,19.1,0
T1156,R&B,0.799,0.542,0.534,0.377,0.132,91.7,-4.82,3.3,63.4,0
T1157,Pop,0.739,0.792,0.6,0.305,0.064,121.6,-3.43,4.21,79.2,1
T1158,Hip-Hop,0.688,0.908,0.502,0.307,0.185,104.4,-5.43,2.49,52.7,0
T1159,Pop,0.746,0.553,0.467,0.226,0.02,125.8,-5.47,3.57,78.2,1
T1160,Hip-Hop,0.714,0.755,0.554,0.02,0.24,103.1,-7.7,3.45,74.5,1
T1161,Hip-Hop,0.755,0.691,0.526,0.238,0.202,99.0,-4.55,3.34,93.2,1
T1162,Rock,0.583,0.795,0.55,0.031,0.12,128.2,-7.04,4.64,48.4,0
T1163,Acoustic,0.361,0.337,0.447,0.901,0.02,126.1,-10.25,3.05,0.0,0
T1164,Pop,0.863,0.58,0.74,0.324,0.02,112.1,-6.58,3.29,73.8,1
T1165,Pop,0.683,0.886,0.633,0.205,0.02,121.1,-10.2,2.98,72.9,1
T1166,Acoustic,0.712,0.138,0.736,0.812,0.02,133.0,-9.31,4.1,23.7,0
T1167,Rock,0.619,0.761,0.396,0.104,0.02,116.5,-6.02,4.47,58.1,0
T1168,Rock,0.621,0.776,0.43,0.02,0.107,123.2,-2.68,3.86,84.0,1
T1169,Hip-Hop,0.981,0.774,0.528,0.02,0.213,104.0,-6.54,3.2,88.2,1
T1170,Pop,0.954,0.788,0.375,0.072,0.049,102.3,-3.79,3.34,84.5,1
T1171,Rock,0.574,0.863,0.582,0.02,0.02,134.1,-4.58,4.74,66.1,0
T1172,Hip-Hop,0.93,0.633,0.502,0.277,0.235,107.7,-9.19,3.17,75.5,1
T1173,EDM,0.742,0.866,0.728,0.02,0.053,127.9,-1.52,3.16,100.0,1
T1174,Pop,0.65,0.814,0.345,0.228,0.07,118.9,-4.8,2.87,90.6,1
T1175,Pop,0.662,0.573,0.546,0.023,0.02,107.2,-6.49,3.23,69.9,0
T1176,R&B,0.708,0.446,0.309,0.062,0.129,113.5,-8.36,2.9,51.0,0
T1177,EDM,0.776,0.854,0.611,0.02,0.092,136.9,-4.27,4.78,71.7,1
T1178,Hip-Hop,0.702,0.843,0.486,0.02,0.168,77.8,-9.07,2.91,80.7,1
T1179,Acoustic,0.306,0.399,0.529,0.99,0.02,129.5,-10.23,4.58,10.6,0
T1180,Pop,0.762,0.629,0.735,0.055,0.039,96.1,-8.71,3.05,77.9,1
T1181,Hip-Hop,0.775,0.648,0.227,0.116,0.216,110.6,-6.53,3.67,75.0,1
T1182,Pop,0.791,0.657,0.535,0.02,0.086,113.1,-4.86,3.84,94.0,1
T1183,Pop,0.664,0.611,0.436,0.365,0.036,119.8,-8.55,3.78,69.5,0
T1184,Acoustic,0.511,0.331,0.486,0.964,0.076,104.2,-12.16,2.83,6.6,0
T1185,EDM,0.822,0.866,0.369,0.045,0.02,124.5,-4.83,2.97,90.0,1
T1186,Rock,0.577,0.667,0.808,0.165,0.029,115.7,-6.64,3.92,67.0,0
T1187,Hip-Hop,0.939,0.538,0.556,0.109,0.393,74.1,-6.22,2.71,74.2,1
T1188,Rock,0.555,0.733,0.492,0.235,0.076,127.1,-3.58,4.0,60.3,0
T1189,Acoustic,0.501,0.252,0.469,0.767,0.023,105.8,-13.47,3.23,2.7,0
T1190,Hip-Hop,0.859,0.606,0.392,0.037,0.221,94.3,-4.6,2.76,83.0,1
T1191,Rock,0.361,0.705,0.338,0.058,0.02,118.5,-3.21,3.66,39.9,0
T1192,Acoustic,0.198,0.621,0.453,0.721,0.034,132.4,-11.43,3.69,0.0,0
T1193,Acoustic,0.445,0.313,0.719,0.864,0.028,133.5,-15.16,3.69,17.0,0
T1194,Rock,0.63,0.686,0.424,0.02,0.072,124.2,-5.42,3.55,80.5,1
T1195,Pop,0.63,0.75,0.611,0.122,0.142,105.3,-4.68,2.98,81.7,1
T1196,Rock,0.481,0.816,0.627,0.062,0.02,108.8,-6.34,3.01,64.0,0
T1197,Pop,0.679,0.709,0.536,0.145,0.121,123.4,-5.2,2.43,77.4,1
T1198,EDM,0.673,0.876,0.438,0.075,0.028,117.9,-2.3,3.91,81.6,1
T1199,Hip-Hop,0.624,0.687,0.768,0.02,0.235,106.5,-5.26,3.41,100.0,1
T1200,Rock,0.355,0.855,0.396,0.02,0.068,127.0,-3.97,4.12,68.2,0
T1201,Hip-Hop,0.837,0.888,0.687,0.17,0.268,110.6,-5.75,3.14,89.8,1
T1202,Hip-Hop,0.79,0.849,0.603,0.061,0.28,102.6,-6.7,2.61,91.6,1
T1203,Hip-Hop,0.781,0.749,0.49,0.122,0.186,112.5,-4.48,2.89,87.4,1
T1204,R&B,0.693,0.406,0.482,0.128,0.192,100.0,-8.13,3.22,43.8,0
T1205,Rock,0.673,0.966,0.45,0.136,0.057,115.1,-6.94,3.36,83.7,1
T1206,Pop,0.678,0.692,0.37,0.183,0.069,121.3,-3.18,2.79,60.6,0
T1207,EDM,0.699,0.706,0.53,0.237,0.029,132.8,-1.64,3.61,87.5,1
T1208,Hip-Hop,0.99,0.633,0.277,0.083,0.248,98.4,-7.12,2.44,61.1,0
T1209,EDM,0.748,0.832,0.617,0.022,0.02,118.3,-1.22,3.59,90.7,1
T1210,Pop,0.784,0.53,0.541,0.224,0.044,139.6,-5.5,3.14,79.4,1
T1211,R&B,0.425,0.457,0.372,0.267,0.098,118.0,-5.36,4.35,72.7,1
T1212,EDM,0.721,0.99,0.199,0.257,0.02,116.2,-2.45,3.74,93.1,1
T1213,Acoustic,0.497,0.262,0.345,0.651,0.027,95.9,-6.9,3.39,41.4,0
T1214,Pop,0.691,0.541,0.566,0.305,0.112,105.0,-4.53,3.55,77.1,1
T1215,Hip-Hop,0.912,0.603,0.602,0.094,0.181,91.8,-9.63,2.78,83.0,1
T1216,R&B,0.633,0.787,0.566,0.18,0.112,113.4,-7.65,4.03,63.0,0
T1217,Hip-Hop,0.863,0.636,0.69,0.211,0.255,103.5,-9.89,3.21,73.5,1
T1218,Acoustic,0.624,0.212,0.417,0.912,0.094,123.0,-14.51,4.26,23.7,0
T1219,Pop,0.719,0.788,0.844,0.02,0.05,111.2,-4.57,4.0,99.6,1
T1220,R&B,0.726,0.56,0.47,0.075,0.046,107.0,-6.79,3.9,59.3,0
T1221,Rock,0.421,0.634,0.47,0.1,0.111,102.8,-4.07,3.77,58.8,0
T1222,EDM,0.702,0.527,0.399,0.075,0.055,133.6,-2.18,3.64,77.3,1
T1223,Hip-Hop,0.874,0.447,0.382,0.02,0.312,78.9,-4.63,3.72,64.4,0
T1224,Pop,0.703,0.393,0.24,0.194,0.106,123.8,-4.36,2.29,69.0,0
T1225,Hip-Hop,0.813,0.657,0.426,0.02,0.213,91.0,-6.08,3.68,86.3,1
T1226,Pop,0.956,0.724,0.676,0.254,0.02,103.4,-4.89,3.65,82.5,1
T1227,Pop,0.69,0.655,0.179,0.156,0.093,122.7,-8.79,4.94,60.1,0
T1228,R&B,0.755,0.403,0.384,0.22,0.112,105.0,-6.4,2.69,40.0,0
T1229,Acoustic,0.516,0.299,0.539,0.892,0.158,93.0,-13.28,3.29,15.5,0
T1230,Rock,0.361,0.654,0.605,0.02,0.059,129.2,-4.06,4.56,61.7,0
T1231,Hip-Hop,0.87,0.614,0.492,0.02,0.27,121.1,-9.45,3.38,88.8,1
T1232,EDM,0.591,0.709,0.718,0.028,0.03,125.3,-4.11,3.88,71.1,1
T1233,R&B,0.691,0.563,0.441,0.224,0.083,83.0,-8.06,3.92,61.4,0
T1234,Rock,0.358,0.617,0.518,0.02,0.105,126.1,-2.15,3.85,47.1,0
T1235,Rock,0.461,0.718,0.646,0.088,0.041,123.1,-4.02,3.2,72.8,1
T1236,Acoustic,0.512,0.329,0.607,0.929,0.025,99.1,-16.54,4.25,4.5,0
T1237,R&B,0.544,0.573,0.341,0.129,0.075,100.2,-8.1,4.0,49.1,0
T1238,R&B,0.482,0.452,0.363,0.161,0.088,117.2,-7.61,4.45,53.1,0
T1239,Acoustic,0.51,0.449,0.34,0.847,0.02,113.9,-10.72,3.52,21.6,0
T1240,EDM,0.743,0.814,0.377,0.238,0.02,141.9,-3.75,3.94,86.1,1
T1241,Rock,0.525,0.672,0.54,0.162,0.02,110.7,-6.89,4.11,73.6,1
T1242,EDM,0.615,0.763,0.616,0.1,0.147,128.9,-0.32,2.48,78.2,1
T1243,Pop,0.62,0.842,0.19,0.203,0.144,120.4,-4.05,3.91,79.0,1
T1244,Hip-Hop,0.903,0.545,0.19,0.083,0.177,102.9,-8.2,3.4,66.3,0
T1245,Hip-Hop,0.817,0.454,0.92,0.264,0.213,79.5,-6.34,3.27,63.7,0
T1246,Acoustic,0.31,0.515,0.431,0.839,0.02,108.6,-8.18,2.94,32.4,0
T1247,R&B,0.641,0.496,0.251,0.205,0.175,112.4,-6.35,2.91,39.5,0
T1248,R&B,0.658,0.6,0.616,0.231,0.125,75.1,-4.16,3.24,66.1,0
T1249,EDM,0.591,0.795,0.306,0.02,0.02,120.5,-2.99,4.18,65.3,0
T1250,Rock,0.365,0.771,0.771,0.02,0.095,105.6,-5.49,3.96,63.8,0
T1251,Pop,0.641,0.533,0.43,0.084,0.02,128.5,-3.55,3.04,67.0,0
T1252,Acoustic,0.567,0.393,0.459,0.653,0.083,125.4,-11.04,4.67,16.5,0
T1253,EDM,0.638,0.976,0.563,0.02,0.058,106.9,-1.42,3.58,68.9,0
T1254,Rock,0.429,0.661,0.457,0.03,0.02,114.2,0.0,4.5,50.3,0
T1255,Rock,0.539,0.774,0.707,0.02,0.046,145.8,-5.51,3.93,58.7,0
T1256,Hip-Hop,0.896,0.821,0.47,0.377,0.182,80.1,-6.58,3.69,81.2,1
T1257,Hip-Hop,0.99,0.575,0.384,0.099,0.24,102.0,-6.05,3.39,81.9,1
T1258,Rock,0.564,0.874,0.558,0.104,0.037,163.2,-7.57,3.7,39.8,0
T1259,R&B,0.634,0.434,0.739,0.183,0.076,110.2,-7.49,3.56,64.6,0
T1260,R&B,0.425,0.526,0.314,0.374,0.045,100.5,-9.76,3.16,44.6,0
T1261,Pop,0.484,0.59,0.548,0.02,0.034,120.6,-4.33,2.18,77.7,1
T1262,Hip-Hop,0.99,0.668,0.468,0.224,0.262,89.6,-5.84,3.49,82.0,1
T1263,Rock,0.499,0.947,0.223,0.046,0.04,108.2,-4.45,4.28,64.5,0
T1264,Acoustic,0.433,0.323,0.637,0.666,0.024,107.9,-12.07,4.29,26.0,0
T1265,R&B,0.778,0.341,0.493,0.348,0.034,119.5,-4.67,3.76,46.1,0
T1266,Hip-Hop,0.83,0.45,0.455,0.227,0.21,88.7,-3.74,3.14,80.2,1
T1267,Pop,0.623,0.711,0.437,0.101,0.086,118.5,-4.16,3.86,87.1,1
T1268,Rock,0.477,0.933,0.57,0.086,0.103,127.7,-7.23,4.32,72.8,1
T1269,Rock,0.558,0.707,0.564,0.197,0.078,114.8,-6.51,4.98,76.6,1
T1270,Hip-Hop,0.554,0.517,0.672,0.091,0.247,91.0,-7.77,4.2,58.5,0
T1271,Pop,0.625,0.873,0.404,0.11,0.206,127.0,-1.85,3.1,75.7,1
T1272,Pop,0.684,0.606,0.742,0.096,0.035,116.4,-6.59,3.87,100.0,1
T1273,Acoustic,0.321,0.389,0.592,0.839,0.044,119.2,-10.99,3.32,19.1,0
T1274,EDM,0.823,0.699,0.275,0.123,0.129,125.5,-8.68,2.09,38.4,0
T1275,R&B,0.572,0.618,0.389,0.096,0.107,99.2,-6.47,4.39,47.1,0
T1276,Acoustic,0.532,0.438,0.374,0.716,0.07,87.6,-8.79,3.72,0.0,0
T1277,R&B,0.745,0.53,0.518,0.237,0.108,103.8,-5.05,3.75,70.5,1
T1278,Hip-Hop,0.83,0.632,0.288,0.148,0.205,83.3,-8.12,3.1,58.4,0
T1279,Acoustic,0.348,0.274,0.323,0.866,0.045,96.3,-10.86,3.31,0.0,0
T1280,R&B,0.669,0.479,0.531,0.232,0.054,124.4,-8.19,3.41,42.0,0
T1281,Acoustic,0.538,0.318,0.445,0.836,0.037,100.1,-7.35,3.93,11.7,0
T1282,R&B,0.721,0.648,0.633,0.222,0.054,109.4,-11.54,3.45,41.6,0
T1283,EDM,0.81,0.99,0.613,0.111,0.025,124.5,-4.37,4.23,99.2,1
T1284,Pop,0.853,0.924,0.56,0.24,0.02,123.0,-7.15,3.75,81.3,1
T1285,Hip-Hop,0.869,0.777,0.489,0.073,0.196,88.7,-3.75,2.94,76.3,1
T1286,Pop,0.791,0.76,0.498,0.15,0.175,114.1,-4.87,2.81,88.3,1
T1287,R&B,0.703,0.46,0.684,0.286,0.118,105.2,-4.55,3.15,62.2,0
